RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThree AmericanName,MMR Current AvgPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
117,0,2/22/2010,ADESA,2007,3,DODGE,MAGNUM V6,SE,WAGON 2.7L,BLUE,AUTO,2,Covers,64118,AMERICAN,SPECIALTY,CHRYSLER,8794,NULL,NULL,20928,33619,FL,10100,0,1215
125,0,2/22/2010,ADESA,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,71062,AMERICAN,LARGE,GM,8305,NULL,NULL,20928,33619,FL,8200,0,1974
140,0,3/1/2010,ADESA,2006,4,SUZUKI,FORENZA,,4D SEDAN,WHITE,MANUAL,2,Covers,23881,OTHER ASIAN,MEDIUM,OTHER,4165,NULL,NULL,19638,33619,FL,6200,0,462
145,0,3/1/2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 3.7L,RED,AUTO,1,Alloy,59391,AMERICAN,LARGE TRUCK,CHRYSLER,4446,NULL,NULL,5546,33619,FL,7600,0,505
152,0,3/8/2010,ADESA,2001,9,FORD,MUSTANG V6,Bas,2D COUPE,BLUE,AUTO,1,Alloy,86414,AMERICAN,SPORTS,FORD,3291,NULL,NULL,5546,33619,FL,5800,0,1153
160,0,3/15/2010,ADESA,2004,6,FORD,FOCUS,ZTW,4D WAGON ZTW,GREY,AUTO,1,Alloy,59287,AMERICAN,COMPACT,FORD,3426,NULL,NULL,19638,33619,FL,6100,0,920
174,0,3/22/2010,ADESA,2003,7,FORD,MUSTANG V6,Bas,2D COUPE,SILVER,AUTO,1,Alloy,88027,AMERICAN,SPORTS,FORD,4675,NULL,NULL,5546,33619,FL,5700,0,1153
178,0,3/22/2010,ADESA,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,2,Covers,49893,AMERICAN,MEDIUM,CHRYSLER,6170,NULL,NULL,19638,33619,FL,6600,0,975
186,0,3/29/2010,ADESA,2006,4,MITSUBISHI,ENDEAVOR FWD,LS,4D SPORT UTILITY LS,WHITE,AUTO,1,Alloy,71214,OTHER ASIAN,MEDIUM SUV,OTHER,8015,NULL,NULL,5546,33619,FL,8000,0,569
197,0,4/5/2010,ADESA,2008,2,DODGE,CALIBER,SE,4D WAGON,RED,AUTO,2,Covers,50644,AMERICAN,MEDIUM,CHRYSLER,7860,NULL,NULL,19638,33619,FL,7500,0,754
223,0,4/19/2010,ADESA,2003,7,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,GREEN,AUTO,NULL,NULL,86344,AMERICAN,MEDIUM SUV,GM,5456,NULL,NULL,19638,33619,FL,7000,0,1543
235,0,5/3/2010,ADESA,2005,5,SATURN,ION,1,4D SEDAN LEVEL 1,SILVER,MANUAL,2,Covers,89769,AMERICAN,MEDIUM,GM,3210,NULL,NULL,5546,33619,FL,4900,0,853
241,0,5/3/2010,ADESA,2005,5,CHRYSLER,PACIFICA FWD,Tou,4D SPORT TOURING,SILVER,AUTO,1,Alloy,85334,AMERICAN,CROSSOVER,CHRYSLER,7228,NULL,NULL,20928,33619,FL,8335,0,1503
245,0,5/10/2010,ADESA,2005,5,CHEVROLET,EQUINOX FWD V6,LS,4D SUV LS,SILVER,AUTO,2,Covers,77050,AMERICAN,MEDIUM SUV,GM,6754,NULL,NULL,20928,33619,FL,7900,0,1389
256,0,5/10/2010,ADESA,2005,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,RED,MANUAL,2,Covers,73516,AMERICAN,COMPACT,FORD,3612,NULL,NULL,20928,33619,FL,5500,0,1155
258,0,5/17/2010,ADESA,2001,9,BUICK,REGAL,LS,4D SEDAN LS,SILVER,AUTO,1,Alloy,92792,AMERICAN,MEDIUM,GM,2988,NULL,NULL,20928,33619,FL,4700,0,2651
277,0,10/4/2010,ADESA,2007,3,CHEVROLET,MALIBU 4C,LS,4D SEDAN LS,GREY,AUTO,2,Covers,53642,AMERICAN,MEDIUM,GM,6045,NULL,NULL,5546,33619,FL,7600,0,837
283,0,10/4/2010,ADESA,2004,6,HYUNDAI,ELANTRA,GLS,4D SEDAN,GREEN,AUTO,2,Covers,97581,OTHER ASIAN,MEDIUM,OTHER,2534,NULL,NULL,5546,33619,FL,3800,0,620
295,0,10/11/2010,ADESA,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,SILVER,AUTO,2,Covers,84349,AMERICAN,MEDIUM,CHRYSLER,5860,NULL,NULL,19638,33619,FL,5500,0,1503
308,0,10/25/2010,ADESA,2004,6,KIA,RIO,Bas,4D SEDAN,GOLD,AUTO,2,Covers,77552,OTHER ASIAN,COMPACT,OTHER,1748,NULL,NULL,5546,33619,FL,3700,0,569
311,0,10/25/2010,ADESA,2005,5,DODGE,DURANGO 2WD V6,ST,4D SUV 3.7L,RED,AUTO,2,Covers,86500,AMERICAN,MEDIUM SUV,CHRYSLER,6030,NULL,NULL,5546,33619,FL,7600,0,1373
320,0,10/25/2010,ADESA,2004,6,FORD,EXPEDITION 2WD V8,XLS,4D SUV 4.6L XLS,RED,AUTO,1,Alloy,92482,AMERICAN,LARGE SUV,FORD,7505,NULL,NULL,5546,33619,FL,8100,0,1197
329,0,11/1/2010,ADESA,2004,6,DODGE,NEON,SXT,4D SEDAN,BLUE,MANUAL,2,Covers,77135,AMERICAN,COMPACT,CHRYSLER,2154,NULL,NULL,5546,33619,FL,3600,0,686
331,0,11/1/2010,ADESA,2008,2,KIA,RIO,Bas,4D SEDAN,GOLD,AUTO,2,Covers,49408,OTHER ASIAN,COMPACT,OTHER,6001,NULL,NULL,19638,33619,FL,5300,0,482
334,0,11/1/2010,ADESA,2009,1,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,GREY,AUTO,1,Alloy,60559,AMERICAN,LARGE,GM,10981,NO,GREEN,19638,33619,FL,9000,0,1703
340,0,11/8/2010,ADESA,2007,3,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,GREY,AUTO,1,Alloy,70029,AMERICAN,LARGE,GM,7388,NULL,NULL,19638,33619,FL,8550,0,1974
350,0,11/15/2010,ADESA,2006,4,CHEVROLET,EQUINOX FWD V6,LS,4D SUV LS,MAROON,AUTO,2,Covers,74187,AMERICAN,MEDIUM SUV,GM,7797,NO,GREEN,19638,33619,FL,8000,0,1389
368,0,11/22/2010,ADESA,2007,3,CHRYSLER,300,Bas,4D SEDAN,WHITE,AUTO,2,Covers,66750,AMERICAN,SPECIALTY,CHRYSLER,10244,NULL,NULL,5546,33619,FL,9500,0,1215
376,0,11/22/2010,ADESA,2006,4,HYUNDAI,SONATA V6,GLS,4D SEDAN GLS,BLACK,AUTO,1,Alloy,32671,OTHER ASIAN,MEDIUM,OTHER,7060,NO,GREEN,5546,33619,FL,7500,0,582
380,0,11/22/2010,ADESA,2005,5,CHEVROLET,1500 SILVERADO PICKU,Bas,REG CAB 4.3L,GREY,AUTO,1,Alloy,70868,AMERICAN,LARGE TRUCK,GM,4962,NULL,NULL,5546,33619,FL,6400,0,1272
381,0,11/22/2010,ADESA,2008,2,CHRYSLER,SEBRING 4C,LX,4D SEDAN LX,BLUE,AUTO,2,Covers,51125,AMERICAN,MEDIUM,CHRYSLER,7456,NULL,NULL,5546,33619,FL,7200,0,920
393,0,11/29/2010,ADESA,2008,2,DODGE,AVENGER V6,SXT,4D SEDAN SXT,SILVER,AUTO,1,Alloy,82820,AMERICAN,MEDIUM,CHRYSLER,9046,NULL,NULL,20740,33619,FL,7800,0,1373
394,0,11/29/2010,ADESA,2003,7,DODGE,CARAVAN GRAND FWD V6,Spo,MINIVAN 3.8L SPORT,GREEN,AUTO,1,Alloy,80341,AMERICAN,VAN,CHRYSLER,3517,NULL,NULL,20928,33619,FL,5700,0,2063
396,0,12/6/2010,ADESA,2005,5,FORD,TAURUS,SE,4D SEDAN SE,SILVER,AUTO,2,Covers,110055,AMERICAN,MEDIUM,FORD,3835,NO,GREEN,19619,33619,FL,4050,0,1216
412,1,12/20/2010,ADESA,2008,2,MAZDA,MAZDA3,i,MAZDA3 4D I SPORT,MAROON,AUTO,NULL,NULL,79092,OTHER ASIAN,MEDIUM,OTHER,10563,NULL,NULL,5546,33619,FL,7500,0,1038
413,0,12/20/2010,ADESA,2003,7,FORD,WINDSTAR FWD V6,SE,4D PASSENGER 3.8L SE,BLUE,AUTO,1,Alloy,71227,AMERICAN,VAN,FORD,3284,NO,GREEN,5546,33619,FL,5050,0,2157
421,0,12/20/2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER 2WD 6C,Nor,4D SUV 4.2L LS,BLACK,AUTO,1,Alloy,63944,AMERICAN,MEDIUM SUV,GM,5901,NO,GREEN,5546,33619,FL,7950,0,1020
433,0,8/19/2009,ADESA,2004,5,CHEVROLET,VENTURE AWD V6,LT,PASSENGER EXT 3.4L LS,BEIGE,AUTO,1,Alloy,81835,AMERICAN,VAN,GM,5650,NULL,NULL,17675,20166,VA,5245,0,6519
454,0,8/26/2009,ADESA,2006,3,CHEVROLET,MALIBU MAXX V6 3.5L,LT,4D SEDAN LT,GOLD,AUTO,2,Covers,62212,AMERICAN,MEDIUM,GM,6185,NULL,NULL,20740,20166,VA,6685,0,1118
493,0,9/9/2009,ADESA,2007,2,CHEVROLET,MALIBU MAXX V6 3.5L,LT,4D SEDAN LT,BLUE,AUTO,2,Covers,63709,AMERICAN,MEDIUM,GM,7619,NULL,NULL,20740,20166,VA,6785,0,1118
516,1,9/23/2009,ADESA,2007,2,HYUNDAI,SONATA 4C 2.4L I4 MP,GLS,4D SEDAN,BLACK,AUTO,2,Covers,72668,OTHER ASIAN,MEDIUM,OTHER,9725,NULL,NULL,20740,20166,VA,6985,0,803
533,1,10/7/2009,ADESA,2007,2,HYUNDAI,ACCENT 1.6L I4 MPI,GS,2D COUPE GS,SILVER,AUTO,NULL,NULL,75611,OTHER ASIAN,COMPACT,OTHER,5958,NULL,NULL,19619,20166,VA,6075,0,920
538,0,10/7/2009,ADESA,2006,3,SUZUKI,FORENZA 2.0L I4 EFI,,4D SEDAN,GOLD,AUTO,2,Covers,49930,OTHER ASIAN,MEDIUM,OTHER,4311,NULL,NULL,19619,20166,VA,5475,0,482
539,1,10/7/2009,ADESA,2003,6,CHEVROLET,MONTE CARLO 3.4L V6,LS,2D COUPE LS,SILVER,AUTO,NULL,NULL,80589,AMERICAN,LARGE,GM,3199,NULL,NULL,19619,20166,VA,5130,0,2452
550,0,2/24/2010,ADESA,2006,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN,BLUE,AUTO,2,Covers,86182,AMERICAN,MEDIUM,CHRYSLER,5414,NULL,NULL,52117,20166,VA,4980,0,1503
563,0,3/10/2010,ADESA,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,2,Covers,64492,AMERICAN,MEDIUM,CHRYSLER,8149,NULL,NULL,52117,20166,VA,7320,0,1020
569,1,3/10/2010,ADESA,2003,7,JEEP,LIBERTY 4WD V6,Spo,4D SUV SPORT,BLACK,AUTO,2,Covers,66550,AMERICAN,SMALL SUV,CHRYSLER,6115,NULL,NULL,52117,20166,VA,7820,0,1125
620,0,4/28/2010,ADESA,2004,6,CHRYSLER,PACIFICA AWD,,4D SPORT TOURER,BLUE,AUTO,1,Alloy,75982,AMERICAN,CROSSOVER,CHRYSLER,6773,NULL,NULL,52117,20166,VA,9525,0,1857
626,0,5/12/2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER EXT 4WD,Nor,4D SUV 4.2L LS,GREEN,AUTO,1,Alloy,74655,AMERICAN,MEDIUM SUV,GM,7418,NULL,NULL,20740,20166,VA,9635,0,1974
634,1,6/2/2010,ADESA,2005,5,NISSAN,MAXIMA,SE,4D SEDAN SE,SILVER,AUTO,NULL,NULL,81495,TOP LINE ASIAN,LARGE,OTHER,9002,NULL,NULL,52117,20166,VA,10110,0,1243
635,1,6/2/2010,ADESA,2002,8,GMC,ENVOY XL 4WD 6C,SLE,4D UTILITY 4.2L SLE,RED,AUTO,NULL,NULL,92263,AMERICAN,MEDIUM SUV,GM,6125,NULL,NULL,52117,20166,VA,7080,0,2651
637,0,6/2/2010,ADESA,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,BLUE,AUTO,1,Alloy,71142,AMERICAN,LARGE,GM,5899,NULL,NULL,52117,20166,VA,7790,0,1974
653,0,6/16/2010,ADESA,2002,8,HONDA,ACCORD 4C,SE,4D SEDAN SE AUTO,BLACK,AUTO,1,Alloy,80228,TOP LINE ASIAN,MEDIUM,OTHER,4437,NULL,NULL,19619,20166,VA,6300,0,894
658,1,6/23/2010,ADESA,2003,7,PONTIAC,GRAND AM 4C,SE,4D SEDAN SE1,GREEN,AUTO,1,Alloy,98674,AMERICAN,MEDIUM,GM,2469,NULL,NULL,52117,20166,VA,4330,0,2074
675,0,7/7/2010,ADESA,2004,6,BUICK,RENDEZVOUS AWD,CXL,4D SUV CX,RED,AUTO,2,Covers,66455,AMERICAN,MEDIUM SUV,GM,4470,NULL,NULL,19619,20166,VA,6860,0,3910
678,0,7/14/2010,ADESA,2006,4,CHEVROLET,HHR,LS,4D SUV 2.2L LS,BLACK,AUTO,1,Alloy,71220,AMERICAN,MEDIUM,GM,5549,NULL,NULL,52117,20166,VA,6900,0,803
723,0,8/25/2010,ADESA,2005,5,FORD,F150 PICKUP 2WD V8,XLT,CREW CAB 4.6L XLT,BLUE,AUTO,1,Alloy,77072,AMERICAN,LARGE TRUCK,FORD,9654,NULL,NULL,52117,20166,VA,11550,0,803
775,0,10/20/2010,ADESA,2005,5,DODGE,NEON,SXT,4D SEDAN,MAROON,AUTO,1,Alloy,67375,AMERICAN,COMPACT,CHRYSLER,3067,NULL,NULL,52117,20166,VA,5750,0,630
780,0,10/20/2010,ADESA,2005,5,NISSAN,SENTRA,S,4D SEDAN 1.8S,BLUE,AUTO,2,Covers,69734,TOP LINE ASIAN,COMPACT,OTHER,4222,NULL,NULL,52117,20166,VA,6360,0,533
783,0,10/20/2010,ADESA,2004,6,DODGE,DURANGO 4WD V8,SLT,4D SUV 4.7L,WHITE,AUTO,2,Covers,73496,AMERICAN,MEDIUM SUV,CHRYSLER,6548,NULL,NULL,52117,20166,VA,8880,0,1623
820,0,7/28/2009,ADESA,2007,2,CHEVROLET,COBALT 2.2L I4 MPI,LS,4D SEDAN LS,GOLD,AUTO,2,Covers,67835,AMERICAN,COMPACT,GM,5288,NULL,NULL,22916,50111,IA,5810,0,728
821,0,7/28/2009,ADESA,2005,4,CHRYSLER,PACIFICA AWD 3.5L V6,Tou,4D SPORT,GOLD,AUTO,1,Alloy,89858,AMERICAN,CROSSOVER,CHRYSLER,6989,NULL,NULL,22916,50111,IA,7315,0,2022
830,1,8/11/2009,ADESA,2006,3,CHEVROLET,COBALT 2.2L I4 MPI,LS,4D SEDAN LS,BLACK,AUTO,NULL,NULL,54912,AMERICAN,COMPACT,GM,4810,NULL,NULL,99740,50111,IA,5710,0,671
835,0,8/25/2009,ADESA,2005,4,KIA,RIO 1.6L I4 MPI,Bas,4D SEDAN,GREY,AUTO,2,Covers,66170,OTHER ASIAN,COMPACT,OTHER,2552,NULL,NULL,22916,50111,IA,3495,0,533
838,0,8/25/2009,ADESA,2006,3,KIA,OPTIMA 4C 2.4L I4 MP,LX,4D SEDAN LX,WHITE,AUTO,2,Covers,59764,OTHER ASIAN,MEDIUM,OTHER,5381,NULL,NULL,22916,50111,IA,6315,0,671
850,0,9/8/2009,ADESA,2006,3,SATURN,ION 2.2L I4 EFI,2,4D SEDAN LEVEL 2,BLUE,AUTO,2,Covers,73179,AMERICAN,MEDIUM,GM,4528,NULL,NULL,99740,50111,IA,5510,0,803
868,0,10/6/2009,ADESA,2007,2,FORD,FIVE HUNDRED 3.0L V6,SEL,4D SEDAN SEL,SILVER,AUTO,1,Alloy,85909,AMERICAN,LARGE,FORD,9205,NULL,NULL,99740,50111,IA,7515,0,1633
869,0,10/6/2009,ADESA,2007,2,SUZUKI,RENO 2.0L I4 EFI,,4D SEDAN,RED,AUTO,2,Covers,65035,OTHER ASIAN,COMPACT,OTHER,4953,NULL,NULL,99740,50111,IA,4905,0,533
875,0,10/13/2009,ADESA,2005,4,DODGE,STRATUS 4C 2.4L I4 M,SXT,4D SEDAN,WHITE,AUTO,2,Covers,72169,AMERICAN,MEDIUM,CHRYSLER,3706,NULL,NULL,99740,50111,IA,4905,0,1155
883,1,10/13/2009,ADESA,2003,6,NISSAN,MAXIMA MFI V6 3.5L D,GLE,4D SEDAN GLE,BLUE,AUTO,1,Alloy,94174,TOP LINE ASIAN,LARGE,OTHER,4474,NULL,NULL,99740,50111,IA,6615,0,1641
893,0,10/27/2009,ADESA,2006,3,JEEP,LIBERTY 2WD V6 3.7L,Spo,4D SUV,BLUE,AUTO,1,Alloy,79346,AMERICAN,SMALL SUV,CHRYSLER,8320,NULL,NULL,1231,50111,IA,7315,1,686
897,0,10/27/2009,ADESA,2005,4,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,SILVER,AUTO,2,Covers,85376,AMERICAN,MEDIUM,FORD,3910,NULL,NULL,1231,50111,IA,4905,1,983
910,1,11/10/2009,ADESA,2004,5,CHEVROLET,MALIBU 4C,Cla,4D SEDAN CLASSIC,SILVER,AUTO,NULL,NULL,71669,AMERICAN,MEDIUM,GM,2884,NULL,NULL,1231,50111,IA,4435,1,1155
915,0,11/10/2009,ADESA,2007,2,TOYOTA,CAMRY 4C,LE,4D SEDAN CE,RED,AUTO,2,Covers,69137,TOP LINE ASIAN,MEDIUM,OTHER,10048,NULL,NULL,1231,50111,IA,10730,1,533
926,0,12/8/2009,ADESA,2006,3,KIA,SPECTRA,EX,4D SEDAN,GREY,MANUAL,2,Covers,40236,OTHER ASIAN,MEDIUM,OTHER,5405,NULL,NULL,1231,50111,IA,5520,1,482
940,1,1/5/2010,ADESA,2002,8,DODGE,DAKOTA PICKUP 2WD V8,SLT,EXT CAB 4.7L SLT,SILVER,AUTO,1,Alloy,75719,AMERICAN,SMALL TRUCK,CHRYSLER,5153,NULL,NULL,22916,50111,IA,4200,0,1806
941,0,1/5/2010,ADESA,2007,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,GREEN,AUTO,1,Alloy,77621,AMERICAN,VAN,CHRYSLER,12034,NULL,NULL,22916,50111,IA,7505,0,1623
951,0,1/19/2010,ADESA,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,GOLD,AUTO,2,Covers,57694,AMERICAN,MEDIUM,CHRYSLER,3544,NULL,NULL,1231,50111,IA,4715,1,1086
954,0,1/26/2010,ADESA,2004,6,FORD,FREESTAR FWD V6,S,PASSENGER 3.9L,BLUE,AUTO,2,Covers,80098,AMERICAN,VAN,FORD,3458,NULL,NULL,1231,50111,IA,5220,1,1633
958,0,1/26/2010,ADESA,2007,3,CHEVROLET,UPLANDER FWD V6,LS,PASSENGER EXT 3.5L,BLUE,AUTO,1,Alloy,64344,AMERICAN,VAN,GM,6838,NULL,NULL,1231,50111,IA,7525,1,1801
970,0,2/2/2010,ADESA,2004,6,MERCURY,SABLE,GS,4D SEDAN GS,GREEN,AUTO,1,Alloy,51656,AMERICAN,MEDIUM,FORD,2901,NULL,NULL,1231,50111,IA,5520,1,754
983,0,2/9/2010,ADESA,2006,4,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,GREEN,AUTO,1,Alloy,72383,AMERICAN,MEDIUM,CHRYSLER,5016,NULL,NULL,22916,50111,IA,5720,0,1155
990,0,2/16/2010,ADESA,2003,7,CHEVROLET,TAHOE 2WD,LS,4D SUV 5.3L LS,RED,AUTO,1,Alloy,74434,AMERICAN,LARGE SUV,GM,9087,NULL,NULL,1231,50111,IA,8910,1,1923
1013,0,3/30/2010,ADESA,2005,5,PONTIAC,GRAND PRIX,Bas,4D SEDAN,RED,AUTO,1,Alloy,76909,AMERICAN,LARGE,GM,4386,NULL,NULL,1231,50111,IA,7325,1,1974
1045,0,5/11/2010,ADESA,2008,2,FORD,TAURUS,SEL,4D SEDAN SEL,BLACK,AUTO,1,Alloy,89404,AMERICAN,MEDIUM,FORD,10098,NULL,NULL,1231,50111,IA,8135,1,1633
1050,0,5/11/2010,ADESA,2007,3,CHEVROLET,1500 SILVERADO PICKU,LS,EXT CAB 4.8L,RED,AUTO,2,Covers,59287,AMERICAN,LARGE TRUCK,GM,12265,NULL,NULL,1231,50111,IA,10750,1,920
1059,1,5/18/2010,ADESA,2003,7,JEEP,LIBERTY 4WD V6,Lim,4D SUV LIMITED,BLACK,AUTO,NULL,NULL,95188,AMERICAN,SMALL SUV,CHRYSLER,6620,NULL,NULL,1231,50111,IA,7335,1,1353
1060,0,5/18/2010,ADESA,2005,5,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,GREY,AUTO,2,Covers,74743,AMERICAN,COMPACT,GM,2606,NULL,NULL,1231,50111,IA,5125,1,1155
1064,0,5/25/2010,ADESA,2006,4,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,BLUE,AUTO,1,Alloy,67860,AMERICAN,MEDIUM,GM,5776,NULL,NULL,1231,50111,IA,6935,1,1118
1068,0,5/25/2010,ADESA,2007,3,PONTIAC,G6 V6,Bas,4D SEDAN SE1,WHITE,AUTO,1,Alloy,77418,AMERICAN,MEDIUM,GM,8784,NULL,NULL,1231,50111,IA,7535,1,1272
1071,0,6/8/2010,ADESA,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,SILVER,AUTO,1,Alloy,75230,AMERICAN,MEDIUM,GM,5906,NULL,NULL,1231,50111,IA,7435,1,1272
1081,0,7/6/2010,ADESA,2005,5,DODGE,CARAVAN FWD V6,SXT,MINIVAN 3.3L SE,BLUE,AUTO,1,Alloy,83775,AMERICAN,VAN,CHRYSLER,5152,NULL,NULL,1235,50111,IA,5730,1,1763
1088,0,11/18/2010,ADESA,2003,7,DODGE,CARAVAN FWD V6,SE,MINIVAN 3.3L FFV SE,MAROON,AUTO,2,Covers,94064,AMERICAN,VAN,CHRYSLER,2963,NO,GREEN,20833,72117,AR,3965,0,2218
1089,0,11/18/2010,ADESA,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN SE,GREY,AUTO,2,Covers,78545,AMERICAN,MEDIUM,CHRYSLER,7717,NO,GREEN,20833,72117,AR,8505,0,1155
1095,0,11/23/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,WHITE,AUTO,1,Alloy,56740,AMERICAN,MEDIUM SUV,GM,7277,NO,GREEN,8655,72117,AR,8725,0,1500
1103,0,11/24/2010,ADESA,2002,8,PONTIAC,GRAND AM V6,GT,2D COUPE GT,SILVER,AUTO,3,Special,80355,AMERICAN,MEDIUM,GM,3418,NO,GREEN,8655,72117,AR,4465,0,2712
1107,1,11/24/2010,ADESA,2005,5,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,WHITE,AUTO,NULL,NULL,104861,AMERICAN,MEDIUM,CHRYSLER,3624,NULL,NULL,8655,72117,AR,4165,0,1450
1111,0,11/24/2010,ADESA,2004,6,CHEVROLET,VENTURE FWD V6,LS,PASSENGER EXT 3.4L,GREY,AUTO,1,Alloy,109133,AMERICAN,VAN,GM,2484,NULL,NULL,8655,72117,AR,4365,0,6192
1127,1,12/9/2010,ADESA,2002,8,DODGE,STRATUS 4C,SE,4D SEDAN SE,GREY,AUTO,NULL,NULL,84579,AMERICAN,MEDIUM,CHRYSLER,1761,NULL,NULL,8655,72117,AR,3265,0,1543
1128,1,12/9/2010,ADESA,2003,7,PONTIAC,GRAND AM V6,SE,4D SEDAN SE1,GOLD,AUTO,NULL,NULL,107450,AMERICAN,MEDIUM,GM,2606,NULL,NULL,8655,72117,AR,4460,0,3191
1146,0,12/16/2010,ADESA,2005,5,FORD,F150 PICKUP 2WD V6,STX,REG CAB 4.2L XL,GOLD,MANUAL,1,Alloy,84645,AMERICAN,LARGE TRUCK,FORD,5588,NULL,NULL,8655,72117,AR,6090,0,594
1174,0,10/26/2010,ADESA,2009,1,PONTIAC,G6 V6,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,73721,AMERICAN,MEDIUM,GM,9832,NULL,NULL,3453,55369,MN,8435,0,1272
1178,0,11/2/2010,ADESA,2005,5,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLACK,AUTO,1,Alloy,75653,AMERICAN,LARGE,FORD,5676,NULL,NULL,1235,55369,MN,7390,1,1506
1188,0,11/9/2010,ADESA,2006,4,KIA,SPECTRA,EX,4D SEDAN,GOLD,AUTO,2,Covers,60773,OTHER ASIAN,MEDIUM,OTHER,4372,NO,GREEN,1235,55369,MN,4960,1,533
